file_name,relative_path,period,granularity,columns,column_count,sample_rows_read,file_size_kb
dailyActivity_merged.csv,data/raw/mturkfitbit_export_3.12.16-4.11.16/Fitabase Data 3.12.16-4.11.16/dailyActivity_merged.csv,3.12.16-4.11.16,diario,"Id, ActivityDate, TotalSteps, TotalDistance, TrackerDistance, LoggedActivitiesDistance, VeryActiveDistance, ModeratelyActiveDistance, LightActiveDistance, SedentaryActiveDistance, VeryActiveMinutes, FairlyActiveMinutes, LightlyActiveMinutes, SedentaryMinutes, Calories",15,5,50.1
heartrate_seconds_merged.csv,data/raw/mturkfitbit_export_3.12.16-4.11.16/Fitabase Data 3.12.16-4.11.16/heartrate_seconds_merged.csv,3.12.16-4.11.16,segundos,"Id, Time, Value",3,5,40107.0
hourlyCalories_merged.csv,data/raw/mturkfitbit_export_3.12.16-4.11.16/Fitabase Data 3.12.16-4.11.16/hourlyCalories_merged.csv,3.12.16-4.11.16,horario,"Id, ActivityHour, Calories",3,5,852.2
hourlyIntensities_merged.csv,data/raw/mturkfitbit_export_3.12.16-4.11.16/Fitabase Data 3.12.16-4.11.16/hourlyIntensities_merged.csv,3.12.16-4.11.16,horario,"Id, ActivityHour, TotalIntensity, AverageIntensity",4,5,948.9
hourlySteps_merged.csv,data/raw/mturkfitbit_export_3.12.16-4.11.16/Fitabase Data 3.12.16-4.11.16/hourlySteps_merged.csv,3.12.16-4.11.16,horario,"Id, ActivityHour, StepTotal",3,5,845.0
minuteCaloriesNarrow_merged.csv,data/raw/mturkfitbit_export_3.12.16-4.11.16/Fitabase Data 3.12.16-4.11.16/minuteCaloriesNarrow_merged.csv,3.12.16-4.11.16,minuto,"Id, ActivityMinute, Calories",3,5,70763.6
minuteIntensitiesNarrow_merged.csv,data/raw/mturkfitbit_export_3.12.16-4.11.16/Fitabase Data 3.12.16-4.11.16/minuteIntensitiesNarrow_merged.csv,3.12.16-4.11.16,minuto,"Id, ActivityMinute, Intensity",3,5,49339.4
minuteMETsNarrow_merged.csv,data/raw/mturkfitbit_export_3.12.16-4.11.16/Fitabase Data 3.12.16-4.11.16/minuteMETsNarrow_merged.csv,3.12.16-4.11.16,minuto,"Id, ActivityMinute, METs",3,5,50752.8
minuteSleep_merged.csv,data/raw/mturkfitbit_export_3.12.16-4.11.16/Fitabase Data 3.12.16-4.11.16/minuteSleep_merged.csv,3.12.16-4.11.16,minuto,"Id, date, value, logId",4,5,9098.0
minuteStepsNarrow_merged.csv,data/raw/mturkfitbit_export_3.12.16-4.11.16/Fitabase Data 3.12.16-4.11.16/minuteStepsNarrow_merged.csv,3.12.16-4.11.16,minuto,"Id, ActivityMinute, Steps",3,5,49504.0
weightLogInfo_merged.csv,data/raw/mturkfitbit_export_3.12.16-4.11.16/Fitabase Data 3.12.16-4.11.16/weightLogInfo_merged.csv,3.12.16-4.11.16,peso,"Id, Date, WeightKg, WeightPounds, Fat, BMI, IsManualReport, LogId",8,5,3.3
