id,total_sleep_records,total_minutes_asleep,total_time_in_bed,source_period,source_file,sleep_date,sleep_hours,time_in_bed_hours,sleep_efficiency,day_of_week
1503960366,1,327,346,4.12.16-5.12.16,data/raw/mturkfitbit_export_4.12.16-5.12.16/Fitabase Data 4.12.16-5.12.16/sleepDay_merged.csv,2016-04-12,5.45,5.77,0.9451,martes
1503960366,2,384,407,4.12.16-5.12.16,data/raw/mturkfitbit_export_4.12.16-5.12.16/Fitabase Data 4.12.16-5.12.16/sleepDay_merged.csv,2016-04-13,6.4,6.78,0.9435,miércoles
1503960366,1,412,442,4.12.16-5.12.16,data/raw/mturkfitbit_export_4.12.16-5.12.16/Fitabase Data 4.12.16-5.12.16/sleepDay_merged.csv,2016-04-15,6.87,7.37,0.9321,viernes
1503960366,2,340,367,4.12.16-5.12.16,data/raw/mturkfitbit_export_4.12.16-5.12.16/Fitabase Data 4.12.16-5.12.16/sleepDay_merged.csv,2016-04-16,5.67,6.12,0.9264,sábado
1503960366,1,700,712,4.12.16-5.12.16,data/raw/mturkfitbit_export_4.12.16-5.12.16/Fitabase Data 4.12.16-5.12.16/sleepDay_merged.csv,2016-04-17,11.67,11.87,0.9831,domingo
1503960366,1,304,320,4.12.16-5.12.16,data/raw/mturkfitbit_export_4.12.16-5.12.16/Fitabase Data 4.12.16-5.12.16/sleepDay_merged.csv,2016-04-19,5.07,5.33,0.95,martes
1503960366,1,360,377,4.12.16-5.12.16,data/raw/mturkfitbit_export_4.12.16-5.12.16/Fitabase Data 4.12.16-5.12.16/sleepDay_merged.csv,2016-04-20,6.0,6.28,0.9549,miércoles
1503960366,1,325,364,4.12.16-5.12.16,data/raw/mturkfitbit_export_4.12.16-5.12.16/Fitabase Data 4.12.16-5.12.16/sleepDay_merged.csv,2016-04-21,5.42,6.07,0.8929,jueves
1503960366,1,361,384,4.12.16-5.12.16,data/raw/mturkfitbit_export_4.12.16-5.12.16/Fitabase Data 4.12.16-5.12.16/sleepDay_merged.csv,2016-04-23,6.02,6.4,0.9401,sábado
1503960366,1,430,449,4.12.16-5.12.16,data/raw/mturkfitbit_export_4.12.16-5.12.16/Fitabase Data 4.12.16-5.12.16/sleepDay_merged.csv,2016-04-24,7.17,7.48,0.9577,domingo
1503960366,1,277,323,4.12.16-5.12.16,data/raw/mturkfitbit_export_4.12.16-5.12.16/Fitabase Data 4.12.16-5.12.16/sleepDay_merged.csv,2016-04-25,4.62,5.38,0.8576,lunes
1503960366,1,245,274,4.12.16-5.12.16,data/raw/mturkfitbit_export_4.12.16-5.12.16/Fitabase Data 4.12.16-5.12.16/sleepDay_merged.csv,2016-04-26,4.08,4.57,0.8942,martes
1503960366,1,366,393,4.12.16-5.12.16,data/raw/mturkfitbit_export_4.12.16-5.12.16/Fitabase Data 4.12.16-5.12.16/sleepDay_merged.csv,2016-04-28,6.1,6.55,0.9313,jueves
1503960366,1,341,354,4.12.16-5.12.16,data/raw/mturkfitbit_export_4.12.16-5.12.16/Fitabase Data 4.12.16-5.12.16/sleepDay_merged.csv,2016-04-29,5.68,5.9,0.9633,viernes
1503960366,1,404,425,4.12.16-5.12.16,data/raw/mturkfitbit_export_4.12.16-5.12.16/Fitabase Data 4.12.16-5.12.16/sleepDay_merged.csv,2016-04-30,6.73,7.08,0.9506,sábado
1503960366,1,369,396,4.12.16-5.12.16,data/raw/mturkfitbit_export_4.12.16-5.12.16/Fitabase Data 4.12.16-5.12.16/sleepDay_merged.csv,2016-05-01,6.15,6.6,0.9318,domingo
1503960366,1,277,309,4.12.16-5.12.16,data/raw/mturkfitbit_export_4.12.16-5.12.16/Fitabase Data 4.12.16-5.12.16/sleepDay_merged.csv,2016-05-02,4.62,5.15,0.8964,lunes
1503960366,1,273,296,4.12.16-5.12.16,data/raw/mturkfitbit_export_4.12.16-5.12.16/Fitabase Data 4.12.16-5.12.16/sleepDay_merged.csv,2016-05-03,4.55,4.93,0.9223,martes
1503960366,1,247,264,4.12.16-5.12.16,data/raw/mturkfitbit_export_4.12.16-5.12.16/Fitabase Data 4.12.16-5.12.16/sleepDay_merged.csv,2016-05-05,4.12,4.4,0.9356,jueves
1503960366,1,334,367,4.12.16-5.12.16,data/raw/mturkfitbit_export_4.12.16-5.12.16/Fitabase Data 4.12.16-5.12.16/sleepDay_merged.csv,2016-05-06,5.57,6.12,0.9101,viernes
1503960366,1,331,349,4.12.16-5.12.16,data/raw/mturkfitbit_export_4.12.16-5.12.16/Fitabase Data 4.12.16-5.12.16/sleepDay_merged.csv,2016-05-07,5.52,5.82,0.9484,sábado
1503960366,1,594,611,4.12.16-5.12.16,data/raw/mturkfitbit_export_4.12.16-5.12.16/Fitabase Data 4.12.16-5.12.16/sleepDay_merged.csv,2016-05-08,9.9,10.18,0.9722,domingo
1503960366,1,338,342,4.12.16-5.12.16,data/raw/mturkfitbit_export_4.12.16-5.12.16/Fitabase Data 4.12.16-5.12.16/sleepDay_merged.csv,2016-05-09,5.63,5.7,0.9883,lunes
1503960366,1,383,403,4.12.16-5.12.16,data/raw/mturkfitbit_export_4.12.16-5.12.16/Fitabase Data 4.12.16-5.12.16/sleepDay_merged.csv,2016-05-10,6.38,6.72,0.9504,martes
