user_id,tracked_days,avg_steps,avg_calories,avg_active_minutes,avg_sedentary_minutes,avg_sleep_hours,days_meeting_10000_steps,pct_days_meeting_10000_steps,user_segment
1503960366,49,11910.8,1805.1,276.8,835.8,6.01,44,0.898,alta_actividad
1624580081,49,5106.1,1433.8,150.7,1265.0,,4,0.0816,actividad_ligera
1644430081,40,7780.9,2837.6,228.6,1130.0,4.9,11,0.275,actividad_media
1844505072,42,2785.0,1574.7,123.9,1160.2,10.86,0,0.0,baja_actividad
1927972279,42,1283.1,2194.9,61.1,1227.2,6.95,0,0.0,baja_actividad
2022484408,42,11588.4,2502.9,314.8,1096.2,,36,0.8571,alta_actividad
2026352035,42,4973.1,1489.7,233.5,680.4,8.44,3,0.0714,baja_actividad
2320127002,42,4122.8,1659.8,177.9,1231.0,1.02,1,0.0238,baja_actividad
2347167796,32,9632.6,2023.7,285.1,677.0,7.45,19,0.5938,actividad_media
2873212765,42,7263.6,1852.2,315.0,1109.4,,1,0.0238,actividad_ligera
2891001357,8,773.6,2273.4,251.2,1099.9,,0,0.0,baja_actividad
3372868164,30,6616.9,1908.8,328.2,1080.1,,0,0.0,actividad_ligera
3977333714,41,10357.3,1481.4,255.1,706.2,4.9,28,0.6829,alta_actividad
4020332650,62,3977.4,2721.3,111.4,1166.2,5.82,5,0.0806,baja_actividad
4057192912,35,2010.0,1900.6,52.9,1344.3,,0,0.0,baja_actividad
4319703577,43,7422.8,2025.6,252.7,748.2,7.94,8,0.186,actividad_ligera
4388161847,39,8595.7,2829.5,216.9,949.0,6.67,23,0.5897,actividad_media
4445114986,45,4662.5,2161.7,214.3,841.4,6.42,0,0.0,baja_actividad
4558609924,42,7203.0,1978.2,294.0,1090.6,2.13,4,0.0952,actividad_ligera
4702921684,45,8392.7,2917.9,268.2,754.3,6.96,12,0.2667,actividad_media
5553957443,42,8467.9,1851.2,235.6,648.7,7.73,19,0.4524,actividad_media
5577150313,41,8385.9,3343.7,265.7,730.7,7.2,13,0.3171,actividad_media
6117666160,38,7363.0,2218.6,295.3,814.1,7.98,9,0.2368,actividad_ligera
6290855005,39,4615.8,2488.3,188.8,1217.8,,0,0.0,baja_actividad
6391747486,9,1336.9,1763.1,40.1,1261.9,,0,0.0,baja_actividad
6775888955,35,3301.2,2284.3,98.7,1227.0,5.83,3,0.0857,baja_actividad
6962181067,44,10690.8,2015.9,299.3,641.5,7.47,33,0.75,alta_actividad
7007744171,37,11550.3,2560.3,329.0,1038.5,1.14,28,0.7568,alta_actividad
7086361926,42,8391.8,2450.2,192.6,863.9,7.55,18,0.4286,actividad_media
8053475328,41,14704.6,2925.8,247.0,1137.9,4.95,36,0.878,alta_actividad
8253242879,30,4760.2,1649.5,117.5,1314.8,,4,0.1333,baja_actividad
8378563200,42,8577.3,3408.9,227.5,706.8,7.42,14,0.3333,actividad_media
8583815059,39,6346.6,2662.1,163.9,1266.1,,6,0.1538,actividad_ligera
8792009665,40,2208.3,1993.7,109.0,1016.2,7.26,0,0.0,baja_actividad
8877689391,42,16263.3,3417.2,312.0,1095.6,,38,0.9048,alta_actividad
